population,family,Individual,location_code,x_coord,y_coord,block,previous_damage,current_damage,total_damage
J,J7,J7_23,574,18,6,4,3,0,3
B,B7,B7_18,575,18,7,4,0,3,3
I,I7,I7_4,576,18,8,4,1,0,1
R,R6,R6_23,608,19,8,4,1,0,1
C,C4,C4_27,607,19,7,4,0,0,0
Q,Q3,Q3_4,606,19,6,4,3,1,4
I,I1,I1_19,605,19,5,4,2,0,2
E,E7,E7_4,604,19,4,4,4,0,4
S,S1,S1_12,603,19,3,4,0,0,0
S,S2,S2_30,602,19,2,4,1,0,1
F,F3,F3_12,601,19,1,4,0,0,0
L,L10,L10_11,633,20,1,4,0,0,0
Q,Q6,Q6_23,634,20,2,4,2,0,2
R,R2,R2_27,635,20,3,4,4,0,4
N,N9,N9_27,636,20,4,4,2,0,2
I,I10,I10_12,637,20,5,4,0,0,0
B,B1,B1_19,638,20,6,4,1,0,1
E,E10,E10_12,639,20,7,4,8,0,8
E,E9,E9_27,640,20,8,4,8,0,8
B,B4,B4_20,672,21,8,4,0,0,0
H,H4,H4_19,671,21,7,4,0,0,0
J,J6,J6_23,670,21,6,4,0,0,0
H,H6,H6_23,669,21,5,4,16,0,16
O,O2,O2_27,668,21,4,4,0,0,0
E,E2,E2_30,667,21,3,4,1,0,1
N,N2,N2_27,666,21,2,4,1,1,2
D,D1,D1_11,665,21,1,4,3,0,3
