population,family,individual,individulal_code,location_code,x_coord,y_coord,block,previous_damage,current_damage,total_damage
H,i,12,H_i_12,320,10,8,4,0,0,0
F,f,27,F_f_27,321,11,1,1,0,0,0
Q,e,27,Q_e_27,322,11,2,1,5,3,8
L,d,4,L_d_4,323,11,3,1,19,0,19
D,j,19,D_j_19,324,11,4,1,4,0,4
O,g,12,O_g_12,325,11,5,1,2,0,2
G,e,19,G_e_19,326,11,6,1,6,0,6
E,i,4,E_i_4,327,11,7,1,3,0,3
I,h,18,I_h_18,328,11,8,1,0,0,0
P,a,12,P_a_12,329,11,1,2,6,0,6
R,d,30,R_d_30,330,11,2,2,0,1,1
P,f,11,P_f_11,331,11,3,2,1,0,1
S,e,19,S_e_19,332,11,4,2,0,0,0
B,h,19,B_h_19,333,11,5,2,7,0,7
C,e,27,C_e_27,334,11,6,2,0,0,0
H,f,20,H_f_20,335,11,7,2,1,0,1
P,e,1,P_e_1,336,11,8,2,3,1,4
G,h,4,G_h_4,337,11,1,3,2,0,2
H,c,1,H_c_1,338,11,2,3,42,2,44
E,i,18,E_i_18,339,11,3,3,44,0,44
I,h,11,I_h_11,340,11,4,3,3,0,3
M,h,19,M_h_19,341,11,5,3,37,13,50
T,f,27,T_f_27,342,11,6,3,4,10,14
L,d,23,L_d_23,343,11,7,3,15,27,42
J,f,20,J_f_20,344,11,8,3,0,0,0
F,g,11,F_g_11,345,11,1,4,3,0,3
P,i,30,P_i_30,346,11,2,4,0,0,0
I,i,12,I_i_12,347,11,3,4,1,6,7
H,j,27,H_j_27,348,11,4,4,1,0,1
M,f,18,M_f_18,349,11,5,4,0,0,0
U,c,1,U_c_1,350,11,6,4,0,0,0
P,a,18,P_a_18,351,11,7,4,1,0,1
D,j,1,D_j_1,352,11,8,4,2,0,2
T,c,20,T_c_20,353,12,1,1,5,3,8
Q,i,30,Q_i_30,354,12,2,1,0,0,0
D,e,19,D_e_19,355,12,3,1,0,0,0
N,i,30,N_i_30,356,12,4,1,2,1,3
L,j,27,L_j_27,357,12,5,1,0,1,1
D,d,4,D_d_4,358,12,6,1,2,0,2
S,h,19,S_h_19,359,12,7,1,7,0,7
C,i,30,C_i_30,360,12,8,1,5,0,5
O,h,4,O_h_4,361,12,1,2,1,1,2
L,b,1,L_b_1,362,12,2,2,0,4,4
E,g,23,E_g_23,363,12,3,2,8,7,15
E,d,19,E_d_19,364,12,4,2,4,0,4
E,j,1,E_j_1,365,12,5,2,0,0,0
L,g,20,L_g_20,366,12,6,2,0,0,0
A,h,18,A_h_18,367,12,7,2,3,0,3
A,a,11,A_a_11,368,12,8,2,7,8,15
I,j,11,I_j_11,369,12,1,3,0,0,0
S,a,23,S_a_23,370,12,2,3,0,15,15
I,f,30,I_f_30,371,12,3,3,0,0,0
D,i,18,D_i_18,372,12,4,3,2,21,23
O,f,20,O_f_20,373,12,5,3,0,4,4
P,c,12,P_c_12,374,12,6,3,10,0,10
O,h,19,O_h_19,375,12,7,3,64,0,64
J,c,1,J_c_1,376,12,8,3,45,43,88
A,h,11,A_h_11,377,12,1,4,1,0,1
C,g,20,C_g_20,378,12,2,4,0,0,0
K,h,1,K_h_1,379,12,3,4,0,3,3
A,c,12,A_c_12,380,12,4,4,0,0,0
K,j,30,K_j_30,381,12,5,4,0,0,0
J,c,27,J_c_27,382,12,6,4,0,0,0
B,b,19,B_b_19,383,12,7,4,0,0,0
M,a,23,M_a_23,384,12,8,4,1,0,1
H,b,1,H_b_1,385,13,1,1,2,1,3
N,b,4,N_b_4,386,13,2,1,1,3,4
G,d,12,G_d_12,387,13,3,1,13,4,17
Q,j,12,Q_j_12,388,13,4,1,11,0,11
H,i,18,H_i_18,389,13,5,1,0,2,2
R,f,27,R_f_27,390,13,6,1,0,1,1
D,a,12,D_a_12,391,13,7,1,0,0,0
P,e,19,P_e_19,392,13,8,1,0,2,2
N,f,20,N_f_20,393,13,1,2,7,0,7
D,g,12,D_g_12,394,13,2,2,0,1,1
T,e,30,T_e_30,395,13,3,2,2,0,2
L,j,1,L_j_1,396,13,4,2,0,0,0
I,i,30,I_i_30,397,13,5,2,3,0,3
U,c,23,U_c_23,398,13,6,2,6,0,6
G,c,20,G_c_20,399,13,7,2,0,0,0
A,f,12,A_f_12,400,13,8,2,4,4,8
C,i,27,C_i_27,401,13,1,3,9,0,9
D,j,30,D_j_30,402,13,2,3,0,0,0
S,i,18,S_i_18,403,13,3,3,0,0,0
Q,c,20,Q_c_20,404,13,4,3,12,29,41
O,a,18,O_a_18,405,13,5,3,0,7,7
J,d,23,J_d_23,406,13,6,3,0,0,0
M,a,12,M_a_12,407,13,7,3,14,0,14
N,e,18,N_e_18,408,13,8,3,15,0,15
G,a,19,G_a_19,409,13,1,4,3,0,3
U,j,27,U_j_27,410,13,2,4,0,0,0
D,d,23,D_d_23,411,13,3,4,5,0,5
G,e,27,G_e_27,412,13,4,4,0,1,1
G,d,30,G_d_30,413,13,5,4,2,0,2
I,h,1,I_h_1,414,13,6,4,5,0,5
B,c,4,B_c_4,415,13,7,4,0,0,0
R,d,4,R_d_4,416,13,8,4,5,0,5
C,a,12,C_a_12,417,14,1,1,3,0,3
F,g,20,F_g_20,418,14,2,1,3,0,3
E,j,11,E_j_11,419,14,3,1,1,0,1
M,h,1,M_h_1,420,14,4,1,20,0,20
K,e,27,K_e_27,421,14,5,1,9,0,9
Q,f,20,Q_f_20,422,14,6,1,1,6,7
B,g,1,B_g_1,423,14,7,1,4,5,9
G,c,NA,G_c_NA,424,14,8,1,0,0,0
J,d,11,J_d_11,425,14,1,2,0,0,0
F,c,27,F_c_27,426,14,2,2,0,0,0
B,g,20,B_g_20,427,14,3,2,0,0,0
L,d,11,L_d_11,428,14,4,2,1,3,4
L,c,20,L_c_20,429,14,5,2,0,0,0
J,a,18,J_a_18,430,14,6,2,0,0,0
H,j,1,H_j_1,431,14,7,2,1,1,2
U,i,11,U_i_11,432,14,8,2,16,0,16
U,j,1,U_j_1,433,14,1,3,10,13,23
J,g,18,J_g_18,434,14,2,3,7,1,8
B,d,4,B_d_4,435,14,3,3,39,0,39
D,d,20,D_d_20,436,14,4,3,1,7,8
E,g,12,E_g_12,437,14,5,3,7,3,10
U,d,4,U_d_4,438,14,6,3,0,24,24
P,g,19,P_g_19,439,14,7,3,7,5,12
K,d,23,K_d_23,440,14,8,3,23,8,31
H,h,11,H_h_11,441,14,1,4,2,0,2
M,d,11,M_d_11,442,14,2,4,0,0,0
A,f,27,A_f_27,443,14,3,4,3,0,3
T,a,12,T_a_12,444,14,4,4,0,0,0
H,c,27,H_c_27,445,14,5,4,3,1,4
U,d,11,U_d_11,446,14,6,4,3,0,3
L,c,4,L_c_4,447,14,7,4,0,0,0
Q,a,30,Q_a_30,448,14,8,4,5,1,6
T,g,20,T_g_20,449,15,1,1,1,5,6
U,c,4,U_c_4,450,15,2,1,4,2,6
U,b,11,U_b_11,451,15,3,1,8,1,9
T,f,23,T_f_23,452,15,4,1,9,0,9
P,h,19,P_h_19,453,15,5,1,3,0,3
R,j,27,R_j_27,454,15,6,1,0,0,0
C,g,23,C_g_23,455,15,7,1,1,0,1
M,e,20,M_e_20,456,15,8,1,5,4,9
A,e,20,A_e_20,457,15,1,2,6,0,6
U,j,12,U_j_12,458,15,2,2,0,0,0
N,a,11,N_a_11,459,15,3,2,1,1,2
K,j,12,K_j_12,460,15,4,2,0,15,15
D,i,27,D_i_27,461,15,5,2,0,0,0
F,h,11,F_h_11,462,15,6,2,5,0,5
F,g,18,F_g_18,463,15,7,2,3,1,4
P,b,4,P_b_4,464,15,8,2,2,1,3
I,i,18,I_i_18,465,15,1,3,1,3,4
S,b,18,S_b_18,466,15,2,3,0,43,43
E,b,1,E_b_1,467,15,3,3,42,0,42
R,j,12,R_j_12,468,15,4,3,2,9,11
H,i,27,H_i_27,469,15,5,3,12,0,12
S,h,1,S_h_1,470,15,6,3,4,0,4
S,c,4,S_c_4,471,15,7,3,103,0,103
H,h,1,H_h_1,472,15,8,3,5,1,6
O,j,12,O_j_12,473,15,1,4,2,0,2
P,b,30,P_b_30,474,15,2,4,6,0,6
R,c,23,R_c_23,475,15,3,4,0,0,0
Q,e,23,Q_e_23,476,15,4,4,4,0,4
K,i,18,K_i_18,477,15,5,4,1,0,1
S,e,23,S_e_23,478,15,6,4,0,0,0
R,e,23,R_e_23,479,15,7,4,4,0,4
B,i,1,B_i_1,480,15,8,4,6,0,6
K,c,19,K_c_19,481,16,1,1,0,0,0
M,a,11,M_a_11,482,16,2,1,2,9,11
B,b,18,B_b_18,483,16,3,1,0,0,0
I,d,27,I_d_27,484,16,4,1,7,0,7
T,j,12,T_j_12,485,16,5,1,7,0,7
M,f,27,M_f_27,486,16,6,1,9,0,9
F,h,19,F_h_19,487,16,7,1,0,0,0
N,d,11,N_d_11,488,16,8,1,4,0,4
M,g,23,M_g_23,489,16,1,2,0,0,0
G,h,1,G_h_1,490,16,2,2,3,1,4
T,c,18,T_c_18,491,16,3,2,4,0,4
H,b,27,H_b_27,492,16,4,2,0,0,0
O,d,27,O_d_27,493,16,5,2,0,6,6
E,b,27,E_b_27,494,16,6,2,0,0,0
O,f,23,O_f_23,495,16,7,2,2,0,2
M,d,19,M_d_19,496,16,8,2,21,2,23
H,j,30,H_j_30,497,16,1,3,1,1,2
A,c,4,A_c_4,498,16,2,3,1,1,2
F,h,1,F_h_1,499,16,3,3,11,93,104
C,b,1,C_b_1,500,16,4,3,6,14,20
A,h,4,A_h_4,501,16,5,3,2,4,6
O,c,12,O_c_12,502,16,6,3,22,0,22
P,e,23,P_e_23,503,16,7,3,0,1,1
G,a,18,G_a_18,504,16,8,3,0,2,2
P,e,20,P_e_20,505,16,1,4,0,0,0
L,g,18,L_g_18,506,16,2,4,4,0,4
A,b,30,A_b_30,507,16,3,4,1,0,1
P,c,4,P_c_4,508,16,4,4,0,0,0
C,e,23,C_e_23,509,16,5,4,2,1,3
C,b,30,C_b_30,510,16,6,4,0,0,0
N,e,1,N_e_1,511,16,7,4,0,0,0
U,i,18,U_i_18,512,16,8,4,0,0,0
R,c,12,R_c_12,513,17,1,1,0,0,0
C,c,4,C_c_4,514,17,2,1,23,1,24
J,c,20,J_c_20,515,17,3,1,47,0,47
U,e,19,U_e_19,516,17,4,1,21,0,21
P,f,1,P_f_1,517,17,5,1,19,0,19
N,e,27,N_e_27,518,17,6,1,1,0,1
H,f,30,H_f_30,519,17,7,1,0,0,0
Q,c,12,Q_c_12,520,17,8,1,2,0,2
S,c,18,S_c_18,521,17,1,2,0,0,0
J,h,4,J_h_4,522,17,2,2,1,0,1
D,a,19,D_a_19,523,17,3,2,7,0,7
I,b,1,I_b_1,524,17,4,2,0,0,0
A,c,18,A_c_18,525,17,5,2,0,0,0
M,i,18,M_i_18,526,17,6,2,4,2,6
