population,family,individual,individulal_code,location_code,x_coord,y_coord,block,previous_damage,current_damage,total_damage
R,g,1,R_g_1,27,1,3,4,5,4,9
N,g,23,N_g_23,28,1,4,4,0,3,3
N,d,12,N_d_12,29,1,5,4,12,18,30
Q,j,23,Q_j_23,30,1,6,4,5,4,9
D,f,11,D_f_11,31,1,7,4,4,1,5
P,g,11,P_g_11,32,1,8,4,2,13,15
C,h,18,C_h_18,33,2,1,1,34,2,36
K,d,12,K_d_12,34,2,2,1,0,2,2
L,f,11,L_f_11,35,2,3,1,0,4,4
K,i,4,K_i_4,36,2,4,1,0,0,0
J,h,20,J_h_20,37,2,5,1,1,0,1
I,a,27,I_a_27,38,2,6,1,3,0,3
G,b,12,G_b_12,39,2,7,1,3,0,3
B,f,18,B_f_18,40,2,8,1,0,0,0
Q,e,1,Q_e_1,41,2,1,2,0,0,0
S,i,4,S_i_4,42,2,2,2,7,0,7
I,j,19,I_j_19,43,2,3,2,1,9,10
Q,d,4,Q_d_4,44,2,4,2,0,0,0
L,h,30,L_h_30,45,2,5,2,0,0,0
U,d,12,U_d_12,46,2,6,2,5,0,5
H,h,18,H_h_18,47,2,7,2,2,0,2
S,g,1,S_g_1,48,2,8,2,52,0,52
P,b,18,P_b_18,49,2,1,3,0,0,0
P,a,27,P_a_27,50,2,2,3,4,0,4
K,h,23,K_h_23,51,2,3,3,23,0,23
O,j,19,O_j_19,52,2,4,3,0,3,3
B,i,11,B_i_11,53,2,5,3,0,0,0
F,i,11,F_i_11,54,2,6,3,21,4,25
G,b,11,G_b_11,55,2,7,3,0,7,7
R,e,27,R_e_27,56,2,8,3,2,0,2
F,e,4,F_e_4,57,2,1,4,0,0,0
L,i,4,L_i_4,58,2,2,4,0,0,0
G,i,4,G_i_4,59,2,3,4,1,2,3
O,a,20,O_a_20,60,2,4,4,3,2,5
O,f,18,O_f_18,61,2,5,4,0,8,8
R,a,20,R_a_20,62,2,6,4,0,1,1
Q,g,19,Q_g_19,63,2,7,4,5,1,6
B,h,11,B_h_11,64,2,8,4,42,1,43
D,f,12,D_f_12,65,3,1,1,0,0,0
M,i,4,M_i_4,66,3,2,1,0,3,3
N,f,12,N_f_12,67,3,3,1,1,0,1
I,j,30,I_j_30,68,3,4,1,3,0,3
C,b,12,C_b_12,69,3,5,1,1,0,1
B,d,12,B_d_12,70,3,6,1,2,0,2
E,f,12,E_f_12,71,3,7,1,0,0,0
J,b,18,J_b_18,72,3,8,1,0,0,0
O,g,1,O_g_1,73,3,1,2,9,0,9
K,h,20,K_h_20,74,3,2,2,1,0,1
T,a,30,T_a_30,75,3,3,2,0,0,0
R,f,12,R_f_12,76,3,4,2,1,0,1
K,a,12,K_a_12,77,3,5,2,2,0,2
A,b,18,A_b_18,78,3,6,2,0,0,0
O,c,1,O_c_1,79,3,7,2,0,0,0
Q,c,27,Q_c_27,80,3,8,2,3,0,3
N,a,27,N_a_27,81,3,1,3,3,1,4
T,c,27,T_c_27,82,3,2,3,5,12,17
N,d,27,N_d_27,83,3,3,3,0,0,0
J,h,18,J_h_18,84,3,4,3,18,4,22
A,a,27,A_a_27,85,3,5,3,13,0,13
G,i,30,G_i_30,86,3,6,3,50,0,50
B,a,30,B_a_30,87,3,7,3,3,1,4
T,j,27,T_j_27,88,3,8,3,28,0,28
A,e,27,A_e_27,89,3,1,4,11,0,11
T,h,23,T_h_23,90,3,2,4,2,0,2
O,c,19,O_c_19,91,3,3,4,1,1,2
E,c,1,E_c_1,92,3,4,4,0,0,0
L,d,12,L_d_12,93,3,5,4,5,2,7
T,j,1,T_j_1,94,3,6,4,2,3,5
H,b,19,H_b_19,95,3,7,4,4,0,4
T,f,12,T_f_12,96,3,8,4,3,1,4
J,d,12,J_d_12,97,4,1,1,16,2,18
K,f,12,K_f_12,98,4,2,1,0,0,0
P,i,4,P_i_4,99,4,3,1,2,0,2
A,i,4,A_i_4,100,4,4,1,0,3,3
L,c,27,L_c_27,101,4,5,1,4,0,4
O,j,27,O_j_27,102,4,6,1,2,0,2
K,j,4,K_j_4,103,4,7,1,2,3,5
I,g,18,I_g_18,104,4,8,1,1,1,2
C,h,4,C_h_4,105,4,1,2,0,0,0
Q,i,4,Q_i_4,106,4,2,2,4,0,4
M,e,18,M_e_18,107,4,3,2,0,0,0
K,i,11,K_i_11,108,4,4,2,0,0,0
U,a,27,U_a_27,109,4,5,2,0,7,7
L,i,11,L_i_11,110,4,6,2,2,1,3
N,g,NA,N_g_NA,111,4,7,2,0,0,0
B,a,23,B_a_23,112,4,8,2,0,0,0
K,e,1,K_e_1,113,4,1,3,7,0,7
H,f,1,H_f_1,114,4,2,3,7,0,7
D,c,1,D_c_1,115,4,3,3,15,0,15
O,g,19,O_g_19,116,4,4,3,0,27,27
Q,j,19,Q_j_19,117,4,5,3,3,8,11
N,f,27,N_f_27,118,4,6,3,6,0,6
U,e,4,U_e_4,119,4,7,3,0,0,0
D,f,1,D_f_1,120,4,8,3,5,10,15
A,j,30,A_j_30,121,4,1,4,5,1,6
F,f,12,F_f_12,122,4,2,4,3,1,4
O,h,30,O_h_30,123,4,3,4,2,1,3
K,d,30,K_d_30,124,4,4,4,11,22,33
D,e,30,D_e_30,125,4,5,4,0,1,1
G,c,19,G_c_19,126,4,6,4,1,0,1
K,c,27,K_c_27,127,4,7,4,0,0,0
A,a,19,A_a_19,128,4,8,4,1,0,1
M,d,4,M_d_4,129,5,1,1,3,9,12
Q,g,23,Q_g_23,130,5,2,1,34,18,52
R,g,19,R_g_19,131,5,3,1,6,0,6
C,e,1,C_e_1,132,5,4,1,0,0,0
S,c,23,S_c_23,133,5,5,1,3,0,3
N,g,12,N_g_12,134,5,6,1,0,2,2
H,d,30,H_d_30,135,5,7,1,0,1,1
A,b,4,A_b_4,136,5,8,1,4,0,4
I,d,30,I_d_30,137,5,1,2,0,0,0
A,j,4,A_j_4,138,5,2,2,3,0,3
J,e,4,J_e_4,139,5,3,2,0,0,0
N,e,4,N_e_4,140,5,4,2,0,0,0
C,b,11,C_b_11,141,5,5,2,0,0,0
P,i,11,P_i_11,142,5,6,2,0,0,0
H,d,27,H_d_27,143,5,7,2,1,0,1
I,h,20,I_h_20,144,5,8,2,3,0,3
D,a,30,D_a_30,145,5,1,3,1,0,1
C,e,19,C_e_19,146,5,2,3,1,1,2
I,a,23,I_a_23,147,5,3,3,7,0,7
J,b,11,J_b_11,148,5,4,3,0,0,0
N,i,12,N_i_12,149,5,5,3,1,0,1
M,i,11,M_i_11,150,5,6,3,12,0,12
R,c,27,R_c_27,151,5,7,3,4,2,6
K,j,1,K_j_1,152,5,8,3,28,0,28
C,i,12,C_i_12,153,5,1,4,5,6,11
H,g,20,H_g_20,154,5,2,4,5,0,5
E,f,20,E_f_20,155,5,3,4,3,1,4
C,c,27,C_c_27,156,5,4,4,1,0,1
F,i,30,F_i_30,157,5,5,4,0,1,1
F,h,18,F_h_18,158,5,6,4,0,0,0
U,f,11,U_f_11,159,5,7,4,3,0,3
J,b,4,J_b_4,160,5,8,4,9,0,9
U,j,4,U_j_4,161,6,1,1,12,1,13
P,c,27,P_c_27,162,6,2,1,7,7,14
K,h,11,K_h_11,163,6,3,1,3,0,3
K,a,19,K_a_19,164,6,4,1,1,14,15
S,e,18,S_e_18,165,6,5,1,0,0,0
E,d,30,E_d_30,166,6,6,1,3,0,3
S,j,30,S_j_30,167,6,7,1,8,0,8
T,a,23,T_a_23,168,6,8,1,27,0,27
R,j,23,R_j_23,169,6,1,2,0,2,2
U,f,20,U_f_20,170,6,2,2,0,0,0
G,e,30,G_e_30,171,6,3,2,0,0,0
R,g,18,R_g_18,172,6,4,2,0,0,0
L,f,12,L_f_12,173,6,5,2,0,0,0
P,h,20,P_h_20,174,6,6,2,7,0,7
E,c,19,E_c_19,175,6,7,2,1,1,2
O,j,11,O_j_11,176,6,8,2,14,0,14
N,j,4,N_j_4,177,6,1,3,0,0,0
A,e,23,A_e_23,178,6,2,3,2,4,6
C,a,30,C_a_30,179,6,3,3,7,1,8
H,b,12,H_b_12,180,6,4,3,27,5,32
G,g,20,G_g_20,181,6,5,3,2,30,32
M,d,23,M_d_23,182,6,6,3,1,0,1
H,g,18,H_g_18,183,6,7,3,5,0,5
P,h,18,P_h_18,184,6,8,3,1,4,5
U,e,18,U_e_18,185,6,1,4,32,0,32
B,f,11,B_f_11,186,6,2,4,6,5,11
I,f,27,I_f_27,187,6,3,4,0,0,0
N,a,20,N_a_20,188,6,4,4,25,0,25
N,j,27,N_j_27,189,6,5,4,1,1,2
S,c,19,S_c_19,190,6,6,4,1,0,1
F,j,11,F_j_11,191,6,7,4,0,1,1
S,g,20,S_g_20,192,6,8,4,0,0,0
J,a,20,J_a_20,193,7,1,1,1,0,1
O,f,27,O_f_27,194,7,2,1,1,0,1
N,a,19,N_a_19,195,7,3,1,6,2,8
E,e,18,E_e_18,196,7,4,1,4,0,4
J,g,19,J_g_19,197,7,5,1,1,0,1
O,b,12,O_b_12,198,7,6,1,4,0,4
T,i,11,T_i_11,199,7,7,1,19,4,23
