,GBIF.common.name,LPI.common.name,species,Common.Name,id,Units,n,intercept,slope,intercept_SE,slope_SE,intercept_p,slope_p,meanpop,row,downloader,data.available,geographic.range,species.LPI,species.GBIF,maxlat,minlat,maxlong,minlong,countoccur,lengthlat,lengthlong,range
105,Great cormorant / Cormorant,Great cormorant / Cormorant,Phalacrocorax carbo,Great cormorant / Cormorant,1780,breeding population index (from graphic),14,94.58218589,-0.04711704,19.52786611,0.009777345,0.00026044,0.000272658,83.4375,91,John,Yes,partWorld,Phalacrocorax carbo,Phalacrocorax carbo,81.61,-54.75,178.245,-177.25,929665,136.36,355.495,48475.2982
106,Great cormorant / Cormorant,Great cormorant / Cormorant,Phalacrocorax carbo,Great cormorant / Cormorant,1781,breeding population index (from graphic),18,56.53625731,-0.028070175,19.41268828,0.009728192,0.009294339,0.00985003,103.5,91,John,Yes,partWorld,Phalacrocorax carbo,Phalacrocorax carbo,81.61,-54.75,178.245,-177.25,929665,136.36,355.495,48475.2982
107,Great cormorant / Cormorant,Great cormorant / Cormorant,Phalacrocorax carbo,Great cormorant / Cormorant,1783,breeding population index (from graphic),15,-81.0762219,0.040778167,15.48801517,0.00776018,0.000100827,9.70E-05,192.9411765,91,John,Yes,partWorld,Phalacrocorax carbo,Phalacrocorax carbo,81.61,-54.75,178.245,-177.25,929665,136.36,355.495,48475.2982
108,Great cormorant / Cormorant,Great cormorant / Cormorant,Phalacrocorax carbo,Great cormorant / Cormorant,1784,breeding population index (from graphic),16,19.85405135,-0.009663195,25.28958863,0.01267962,0.443883618,0.457085827,106.9444444,91,John,Yes,partWorld,Phalacrocorax carbo,Phalacrocorax carbo,81.61,-54.75,178.245,-177.25,929665,136.36,355.495,48475.2982
109,Great cormorant / Cormorant,Great cormorant / Cormorant,Phalacrocorax carbo,Great cormorant / Cormorant,1785,breeding population index (from graphic),16,75.84829721,-0.037808425,24.25327869,0.012160038,0.006496739,0.006748042,74.16666667,91,John,Yes,partWorld,Phalacrocorax carbo,Phalacrocorax carbo,81.61,-54.75,178.245,-177.25,929665,136.36,355.495,48475.2982
110,Great cormorant / Cormorant,Great cormorant / Cormorant,Phalacrocorax carbo,Great cormorant / Cormorant,1782,breeding population index (from graphic),18,-91.50483026,0.046024151,9.759803145,0.004890886,2.39E-08,2.26E-08,211,91,John,Yes,partWorld,Phalacrocorax carbo,Phalacrocorax carbo,81.61,-54.75,178.245,-177.25,929665,136.36,355.495,48475.2982
111,Great cormorant / Cormorant,Great cormorant / Cormorant,Phalacrocorax carbo,Great cormorant / Cormorant,1788,breeding population index (from graphic),18,-37.4984127,0.019047619,19.77938283,0.009911952,0.074153933,0.070623071,103,91,John,Yes,partWorld,Phalacrocorax carbo,Phalacrocorax carbo,81.61,-54.75,178.245,-177.25,929665,136.36,355.495,48475.2982
112,Great cormorant / Cormorant,Great cormorant / Cormorant,Phalacrocorax carbo,Great cormorant / Cormorant,1786,breeding population index (from graphic),18,78.48318524,-0.039097744,16.31353542,0.008175128,0.00014002,0.000148975,100.5,91,John,Yes,partWorld,Phalacrocorax carbo,Phalacrocorax carbo,81.61,-54.75,178.245,-177.25,929665,136.36,355.495,48475.2982
113,Great skua,Great skua,Catharacta skua,Great skua,12088,Number of apparently occupied territories,39,-51.79345722,0.026222738,2.08340553,0.001046919,1.58E-25,1.20E-25,107.2439024,93,John,Yes,partWorld,Catharacta skua,Stercorarius skua,77.525,-77.967,158.966,-117.8167,1977,155.492,276.7827,43037.49559
114,Great skua,Great skua,Catharacta skua,Great skua,12093,Number of apparently occupied territories,27,12.66337165,-0.006327994,7.797789218,0.003920422,0.116001291,0.118131397,2664.896552,93,John,Yes,partWorld,Catharacta skua,Stercorarius skua,77.525,-77.967,158.966,-117.8167,1977,155.492,276.7827,43037.49559
